entry,example_de,translation,cefr
immer,Ich trinke immer Kaffee am Morgen.,always,A1
mich,Er hat mich einfach ignoriert.,me,A1
gehen,Wir müssen jetzt wirklich gehen.,to go,A1
groß,Der Baum im Garten ist sehr groß.,big,A1
hier,Hier beginnt unsere lange Reise.,here,A1
ganz,Ich habe den ganzen Tag gearbeitet.,whole,A2
zwei,Zwei Stunden blieben uns noch übrig.,two,B2
einem,,a (dat.),B1
also,"Also, wie lösen wir dieses Problem?",so,A1
jetzt,Jetzt ist der perfekte Moment.,now,A1
doch,"Er wollte kommen, doch wurde krank.",however,A2
wieder,Er hat wieder das Gleiche gesagt.,again,A2
uns,Wir treffen uns morgen um acht Uhr.,us,A1
gut,Das Wetter ist heute wirklich gut.,good,A1
bis,"Warte hier, bis ich zurück bin.",until,A1
wissen,"Ich wusste, dass es so kommen würde.",to know,A1
sehen,Er hat den Film schon gesehen.,to see,A1
sehr,Er war sehr zufrieden mit dem Ergebnis.,very,A1
mal,Tausend mal tausend ist eine Million.,times,B1
lassen,Er ließ mich die Arbeit machen.,to let,A2
neu,Ich habe ein neues Buch gekauft.,new,A1
stehen,Er stand stundenlang vor dem Haus.,to stand,A1
unser,Unser Hund ist sehr freundlich.,our,A1
jede,Jeder Tag ist eine neue Chance.,every,
weil,"Ich bin müde, weil ich arbeite.",because,A2
unter,Der Hund schläft unter dem Tisch.,under,A1
der Mensch,Der Mensch ist ein soziales Wesen.,human being,A1
ihm,Ich habe ihm das Buch gegeben.,him,A1
ihn,Sie sah ihn gestern in der Stadt.,him,A1
denn,"Er ging nicht, denn es regnete.",because,A1
das Beispiel,Kannst du ein weiteres Beispiel geben?,example,A1
erste,Der erste Schnee ist gefallen.,first,
die Zeit,Die Zeit verging sehr schnell.,time,A1
lang,Der lange Weg führt durch den Wald.,long,A1
leben,Er lebt schon lange in dieser Stadt.,to live,A1
die Frau,Die Frau winkte aus dem Fenster.,woman,A1
etwas,Etwas muss hier falsch gelaufen sein.,something,A2
selbst,Selbst die Experten waren überrascht.,even,A2
wenig,Wir haben wenige Optionen übrig.,few,A1
wenige,Wenige wussten von dem Geheimnis.,little,
finden,Er findet den Schlüssel unter dem Sofa.,to find,A1
gegen,Er kämpfte gegen den starken Wind.,against,A1
zwischen,Zwischen den Bäumen war es dunkel.,between,A1
drei,Drei Freunde gingen zusammen ins Kino.,three,
liegen,Das Buch liegt auf dem Schreibtisch.,to lie,A1
wo,"Ich weiß nicht, wo meine Tasche ist.",where,A1
nichts,Nichts ist für immer verloren.,nothing,A1
klein,"Das Haus ist klein, aber gemütlich.",small,A1
der Tag,Der Tag begann mit Sonnenschein.,day,A1
deutsch,Er liest gerne deutsche Literatur.,German,A1
bleiben,Er blieb die ganze Nacht wach.,to stay,A1
nun,Nun beginnen wir mit der Arbeit.,now,B1
sondern,"Er ist nicht faul, sondern fleißig.",but (on the contrary),B1
heute,Heute müssen wir viel erledigen.,today,A1
beide,Beide trafen sich gestern wieder.,both,A1
hoch,Der Baum ist sehr hoch gewachsen.,high,A1
damit,Er ist endlich zufrieden damit.,with it,B1
ohne,Er ging ohne ein Wort zu sagen.,without,A1
des,,of the (gen.),A1
der Mann,Der Mann hilft seinem Nachbarn oft.,man,A1
welche,Welches Buch suchst du gerade?,which,
tun,"Ich weiß nicht, was ich tun soll.",to do,A1
einmal,Wir treffen uns einmal pro Woche.,once,A1
ihnen,Er hat ihnen das Buch gegeben.,them,A1
heißen,Er heißt Max und wohnt in Berlin.,to be called,A1
ob,"Ob er es schafft, ist fraglich.",whether,B1
denken,Er denkt oft an seine Kindheit.,to think,A2
dabei,"Er war dabei, als es passierte.",with (somebody),A2
seit,Ich wohne hier seit drei Jahren.,since,A1
einfach,Der Film hatte eine einfache Handlung.,simple,A1
erst,Sie kam erst um Mitternacht nach Hause.,first,A2
das Kind,Das Kind spielt im Sandkasten.,child,A1
das Land,Im Land herrscht eine ernste Krise.,land,A1
stellen,Ich stelle die Vase auf den Tisch.,to place,A1
zeigen,Er zeigt mir den Weg zur Stadt.,to show,A2
natürlich,Der Fluss folgt seinem natürlichen Lauf.,natural,A2
alt,"Das Buch ist sehr alt, aber interessant.",old,A1
dort,Sie lebt dort in einem kleinen Dorf.,over there,A1
das Deutschland,Deutschland ist bekannt für Autos.,Germany,A2
eines,,of a (gen.),B1
gleich,Wir haben das gleiche Problem.,same,A1
nehmen,Er nahm das Buch und ging weg.,to take,A1
dürfen,Er durfte nicht ohne Erlaubnis gehen.,to be allowed to may,A1
wichtig,Pünktlichkeit ist im Job wichtig.,important,A1
vielleicht,Vielleicht sehen wir uns nächste Woche.,perhaps,A1
hören,Ich habe einen Vogel singen gehört.,to hear,A1
das Haus,Das Haus steht leer seit Monaten.,house,A1
nein,"Nein, das kann nicht wahr sein!",no,A1
wer,Wer hat den Schlüssel genommen?,who,A1
dazu,Sie kochte und deckte dazu den Tisch.,in addition,A1
eigentlich,Er ist der eigentliche Besitzer.,actual,A2
letzte,Die letzte Chance ist nun vorbei.,last,A1
fragen,Er fragte nach dem Weg zum Bahnhof.,to ask,A1
der Herr,Herr Müller ist heute nicht im Büro.,Mr.,A1
halten,Er hält das Seil fest in der Hand.,to stop,A1
glauben,Er glaubt an das Gute im Menschen.,to believe,A1
die Frage,Die Frage blieb unbeantwortet.,question,A1
gelten,Das Angebot gilt nur für heute.,to be valid,B1
gerade,Er hat die Linie gerade gezogen.,straight,A1
folgen,Der Hund folgte seinem Besitzer.,to follow,B1
sprechen,Wir haben lange miteinander gesprochen.,to speak,A1
führen,Er führt die Gruppe durch den Wald.,to lead,B1
bringen,Er brachte das Paket zur Post.,to bring,A1
die Welt,Die Welt dreht sich immer weiter.,world,A1
gar,"Gar nichts passiert, keine Sorge!",at all,B1
eigen,Er brachte sein eigenes Essen mit.,own,A2
genau,Ich habe den genauen Termin vergessen.,exact,A2
mögen,Er mochte den Kuchen sehr gern.,to like,A1
spät,"Es tut mir leid, dass ich so spät bin.",late,A1
bereits,Er ist bereits auf dem Weg hierher.,already,B1
möglich,Es gibt keine möglichen Ausreden mehr.,possible,A1
das Prozent,Das Produkt ist zehn Prozent teurer.,percent,A2
während,"Während ich lese, höre ich Musik.",while,B1
einige,Einige von uns gingen früh nach Hause.,a few,A1
dafür,"Ich bin dafür, dass wir loslegen.",for it,B1
kurz,"Das Meeting war kurz, aber produktiv.",short,A1
richtig,Deine Lösung ist absolut richtig.,correct,A1
stark,Der Wind wehte heute besonders stark.,strong,A2
brauchen,Wir brauchen mehr Informationen.,to need,A1
die Hand,Er hält die Hand seiner Mutter.,hand,A1
etwa,Etwa zehn Leute kamen zur Party.,about,B1
weitere,Ein weiterer Vorschlag wurde gemacht.,additional,
das Ende,Am Ende des Tages sind wir alle müde.,end,A1
schreiben,Er schreibt einen Brief an seine Mutter.,to write,A1
solch,Solch ein Verhalten ist unakzeptabel.,such,B1
nie,Er hat nie wieder daran gedacht.,never,A1
der Fall,Der Fall wurde schnell gelöst.,fall,B1
schön,Am See war es gestern sehr schön.,beautiful,A1
wirklich,Das wirkliche Problem liegt woanders.,real,A2
denen,"Er hilft denen, die ihn brauchen.",whom,C1
nennen,Sie nannten ihre Tochter Maria.,to name,A2
warum,Warum fragst du immer wieder dasselbe?,why,A1
ziehen,Ich ziehe nächste Woche nach Berlin.,to pull,B1
das Wort,Das Wort hat viele Bedeutungen.,word,A1
darauf,Die Katze sprang plötzlich darauf.,on it,A1
eben,Ich habe ihn eben an der Tür gesehen.,just,B1
die Seite,Der Fluss ist auf der rechten Seite.,side,A2
das Teil,Das Teil des Motors ist defekt.,part,A1
jung,Der junge Mann geht zur Arbeit.,young,A1
vier,Vier Freunde kamen zusammen zum Essen.,four,C1
besser,Heute fühle ich mich schon besser.,better,
fast,Er war fast zu spät zum Meeting.,almost,A2
schnell,Wir brauchen eine schnelle Antwort.,quick,A1
die Stadt,Die Stadt leuchtet in der Nacht hell.,city,A1
spielen,Die Kinder spielen fröhlich im Park.,to play,A1
zwar,"Es ist zwar kalt, aber die Sonne scheint.",although,B1
der Euro,Der Euro ist eine stabile Währung.,euro (unit of currency),B1
die Arbeit,Die Arbeit begann um acht Uhr.,work,A1
die Million,Der Gewinn beträgt eine Million Euro.,million,A1
das Problem,Das Problem ist schnell gelöst.,problem,A1
verstehen,Er versteht die Aufgabe nicht.,to understand,A1
bekommen,Er bekommt morgen sein Gehalt.,to get,A1
meinen,"Er meint, das wäre eine gute Idee.",to think,A2
davon,Er hat bisher nichts davon gehört.,from it,A1
fahren,Sie fährt jeden Morgen zur Arbeit.,to drive,A1
kennen,Ich kenne ihn seit vielen Jahren.,to know,A1
dich,Ich habe dich lange nicht gesehen.,you,A1
die Mutter,Die Mutter umarmte ihr Kind liebevoll.,mother,A1
die Woche,Die Woche ging sehr schnell vorbei.,week,A1
der Weg,Der Weg führte direkt zum Ziel.,path,A2
weiter,Der Artikel enthält weitere Details.,further,A1
das Auge,Sie hat ein blaues Auge nach dem Sturz.,eye,A1
oft,Er besucht sie oft am Wochenende.,often,A1
die Leute,Die Leute gingen schweigend fort.,people,A1
allerdings,"Es regnet, allerdings nicht stark.",though,B1
sogar,Das ist sogar besser als erwartet!,even,A2
jedoch,"Er kam, jedoch war er zu spät.",however,B1
setzen,Er setzt die Pflanze ins Sonnenlicht.,place,A1
deshalb,"Es regnete, deshalb blieb ich im Hotel.",so,A2
weit,Er blickte weit in die Zukunft.,widely,A1
sitzen,Er hat stundenlang am Fenster gesessen.,to sit,A1
der Vater,Der Vater brachte die Kinder zur Schule.,father,A1
dein,Dein Buch liegt noch im Wohnzimmer.,your,A1
arbeiten,Er arbeitet seit Jahren in dieser Firma.,to work,A1
das Geld,Ich habe mein ganzes Geld ausgegeben.,money,A1
das Unternehmen,Das Unternehmen expandiert weiter.,enterprise,A2
nächste,Das nächste Treffen ist im März.,next,
erklären,Der Lehrer erklärt die Aufgabe.,to explain,A1
klar,Klare Anweisungen verhinderten Fehler.,clear,A1
der Doktor,Der Doktor verschrieb ein Medikament.,doctor,A1
das Paar,Das Paar ging zusammen durch den Park.,pair,A2
recht,"Es ist mir recht, wenn wir später gehen.",(all) right,B1
wegen,Wegen des Regens blieb er zu Hause.,because of,A2
dir,Ich habe dir das Buch gegeben.,you,A1
das Wasser,Das Wasser kocht auf dem Herd.,water,A1
bestehen,Er hat die schwierige Prüfung bestanden.,to exist,A2
versuchen,"Er versucht, das Problem zu lösen.",to try,A2
der Punkt,Kannst du bitte zum Punkt kommen?,dot,B1
der Grund,Der Grund bleibt ihm ein Rätsel.,reason,B1
der Kopf,Er hielt den Kopf gesenkt und schwieg.,head,A1
beginnen,Er beginnt jeden Tag mit einem Lächeln.,to begin,A1
laufen,Er läuft jeden Morgen fünf Kilometer.,to run,A1
das Bild,Das Bild hängt schief an der Wand.,picture,A1
verschieden,Er probierte verschiedene Methoden aus.,different,A2
der Name,Sein Name steht auf der Liste.,name,A1
die Aufgabe,Die Aufgabe ist ziemlich schwer.,task,A1
schwer,Der Koffer war schwer zu tragen.,difficult,A1
entsprechen,Das Ergebnis entspricht den Erwartungen.,to correspond,B1
treffen,Wir treffen uns heute Abend im Café.,to meet,B1
die Art,Welche Art von Musik magst du?,type,A1
wohl,"Wohl vorbereitet, ging er zur Prüfung.",well,B1
die Geschichte,Die Geschichte ist spannend erzählt.,history,A2
erzählen,Sie erzählt ihm eine Geschichte.,to tell,A1
entstehen,Neue Ideen entstehen oft spontan.,to originate,B1
sicher,Das Gebäude ist absolut sicher.,safe,A2
neben,Das Auto steht neben dem Haus.,next to,A2
allein,Er lebt allein in einer Wohnung.,alone,A1
die Abbildung,Die Abbildung zeigt das Ergebnis.,illustration,B1
hinter,Der Garten liegt hinter dem Haus.,behind,A2
besonders,Er hat sich besonders viel Mühe gegeben.,particularly,A2
tragen,Er trägt die schwere Tasche zum Auto.,to carry,A2
kaum,Kaum jemand war noch anwesend.,hardly,B1
der Freund,Mein Freund hilft mir bei allem.,friend,A1
fünf,Fünf Äpfel liegen auf dem Tisch.,five,C2
scheinen,Die Sonne scheint hell durch die Wolken.,to shine,A1
die Stunde,Die Stunde verging viel zu schnell.,hour,A1
aussehen,Sie sieht heute besonders müde aus.,to appear,A1
gern,Ich lese sehr gern gute Bücher.,(with a verb) love to,A2
überhaupt,Ich verstehe überhaupt nichts.,at all,B1
bestimmt,Er hat ein bestimmtes Talent für Musik.,special,B1
sowie,Er bringt Obst sowie Gemüse mit.,as well as,B1
der Professor,Der Professor hielt eine Vorlesung.,professor,B1
darüber,Er sprach nicht gerne darüber.,above it,A1
deren,"Das ist die Frau, deren Hund laut bellt.",whose,
schaffen,"Es ist schwer, aber wir schaffen es.",to manage,A2
damals,Sie war damals meine beste Freundin.,back then,A2
erhalten,Ich habe deinen Brief erhalten.,to receive,B1
lernen,Er lernt gerade das Klavierspielen.,to learn,A1
frei,In diesem Land sind die Bürger frei.,free,A1
wert,Das Auto ist nicht mehr viel wert.,worth,B1
beziehungsweise,"Das Konzert ist heute, bzw. um acht.",or rather,C1
daran,Wir arbeiten schon seit Stunden daran.,on it,A1
suchen,Er suchte den Schlüssel überall.,to search,A1
das Europa,Europa ist kulturell vielfältig.,Europe,A2
gemeinsam,Wir haben ein gemeinsames Ziel.,common,B1
rund,Der Tisch hat eine runde Form.,round,A2
die Zahl,Die Zahl der Besucher stieg an.,number,A2
das Thema,Das Thema weckt großes Interesse.,subject,A1
handeln,Er handelt oft mit seltenen Büchern.,to deal,A1
das Buch,Er hat das Buch in einem Rutsch gelesen.,book,A1
deutlich,Die Anweisungen waren deutlich.,clear,A2
anders,Es hätte anders laufen können.,different,A2
politisch,Die politische Lage spitzt sich zu.,political,B1
lesen,Ich lese jeden Abend ein Buch.,to read,A1
der Blick,Der Blick aus dem Fenster war schön.,look,A1
die Form,Der Tisch hat die Form eines Sterns.,form,B1
einzeln,Jedes einzelne Leben ist kostbar.,individual,B1
erreichen,Wir müssen das Ziel erreichen.,to achieve,A2
vergehen,Die Stunden vergehen heute sehr schnell.,to pass (time),A2
leicht,Ein leichter Wind bewegte die Blätter.,light,A1
je,Die Teilnehmer zahlen je 20 Euro.,ever,B1
verlieren,Er verliert oft seinen Schlüssel.,to lose,A2
beste,Er ist der beste Spieler im Team.,best,
bilden,Sie bilden eine starke Gruppe.,to form,A2
der Monat,Der Monat Januar ist oft kalt.,month,A1
die Lösung,Die Lösung des Rätsels war einfach.,solution,A1
die Sache,Die Sache ist ziemlich kompliziert.,thing,A2
bekannt,Sie ist eine bekannte Sängerin.,well-known,A1
das Ziel,Das Ziel war endlich erreicht.,destination,A2
steigen,Er stieg vorsichtig die Treppe.,to climb,B1
eher,Ich würde eher zu Hause bleiben.,sooner,B1
essen,Ich habe gestern zu viel gegessen.,to eat,A1
die Minute,Er kam nur fünf Minuten zu spät.,minute,A1
nachts,Nachts ist es hier besonders still.,at night,A1
die Nacht,Die Nacht war klar und voller Sterne.,night,A1
der Platz,Dieser Platz ist ideal für ein Picknick.,place,A1
schlecht,Das Wetter war heute wirklich schlecht.,bad,A1
das Spiel,Das Spiel beginnt um acht Uhr.,game,A2
die Familie,Die Familie traf sich zum Essen.,family,A1
jemand,Jemand hat an der Tür geklopft.,someone,A2
dessen,"Das ist der Mann, dessen Buch du liest.",whose,
fallen,Das Blatt ist leise zu Boden gefallen.,to fall,A2
zehn,Zehn Leute warteten vor der Tür.,ten,C2
der Preis,Der Preis für das Haus ist zu hoch.,price,A1
europäisch,Der europäische Markt ist stabil.,European,B2
sonst,Sonst passiert hier nicht viel.,otherwise,A2
der Staat,Der Staat investiert in Bildung.,state,A2
helfen,Er hilft ihr bei den Hausaufgaben.,to help,A1
der Bereich,Der Bereich ist für Kinder gesperrt.,area,B1
tatsächlich,Die tatsächlichen Kosten sind höher.,real,B1
der Ort,Der Ort des Treffens ist der Park.,place,A1
abends,Wir treffen uns abends im Park.,in the evening,A2
der Abend,Es war ein sehr entspannter Abend.,evening,A1
einzig,"Er ist der einzige, der es kann.",only,B1
die Stelle,An dieser Stelle hatte ich einen Unfall.,place,A1
unterschiedlich,Die Meinungen dazu sind unterschiedlich.,different,B1
das Gesicht,Sein Gesicht zeigte keine Regung.,face,A2
die Entwicklung,Die Entwicklung der Stadt dauert Jahre.,development,B1
die Uhr,Die Uhr zeigt fünf Minuten vor zwölf.,clock,A1
mehrere,Mehrere Leute warteten auf den Bus.,several,B1
schließen,Er schloss die Tür leise hinter sich.,to close,A1
schließlich,Schließlich hat er zugestimmt.,finally,A1
legen,Er legt das Buch auf den Tisch.,to lay,A1
direkt,Ich bevorzuge direkte Kommunikation.,direct,A2
daher,"Sie war müde, daher ging sie früh ins Bett.",from there,B1
offen,Die offene Tür lädt zum Hereinkommen.,open,A2
erkennen,Er erkannte den Fehler sofort.,to recognize,B1
die Person,Die Person am Telefon war sehr höflich.,person,A2
der Moment,Der Moment ist perfekt für ein Foto.,moment,A1
die Schule,Die Schule beginnt um acht Uhr.,school,A1
darin,Darin steckt das Geheimnis ihrer Kraft.,in it,A1
das Auto,Das Auto parkte direkt vor dem Haus.,automobile,A1
niemand,"Niemand wusste, was zu tun war.",no one,A2
die Gesellschaft,Die Gesellschaft entwickelt sich stetig.,society,B1
warten,Er wartet ungeduldig auf den Bus.,to wait,A1
vorstellen,Er stellt seine Idee der Gruppe vor.,to introduce,A1
früh,Der frühe Vogel fängt den Wurm.,early,A2
treten,Er trat vorsichtig über die Schwelle.,to step,B1
reden,Sie redeten lange über den Vorfall.,to talk,A2
die Gruppe,Die Gruppe arbeitet gut zusammen.,group,A1
das Ding,Das Ding auf dem Tisch gehört mir.,thing,A2
na,"Na, wie war dein Wochenende so?",well,A1
gewinnen,Er gewann das Spiel im letzten Moment.,to win,A1
zunächst,Zunächst erklärt er die Regeln.,first,B1
die Tür,Sie schloss die Tür leise hinter sich.,door,A2
der Schritt,Er macht einen großen Schritt nach vorn.,step,B1
entwickeln,Das Team entwickelt eine neue Software.,to develop,B1
meiste,Die meiste Zeit verbringt er draußen.,most,
die Möglichkeit,Wir haben die Möglichkeit zu verhandeln.,possibility,B1
der Sinn,Der Sinn des Lebens bleibt ein Rätsel.,sense,B1
passieren,Der Unfall ist an der Kreuzung passiert.,to take place,A2
manchmal,Manchmal gehe ich früh schlafen.,sometimes,A2
der Vergleich,Im Vergleich zu dir bin ich langsamer.,comparison,B1
das System,Das System funktioniert reibungslos.,system,B1
die Rolle,Er spielt die Rolle des Helden im Theater.,role,B1
das Ergebnis,Das Ergebnis wurde heute veröffentlicht.,result,A1
vergleichen,Er verglich die Preise der Produkte.,to compare,A2
voll,Das Glas ist bis zum Rand voll.,full,A2
erwarten,"Ich erwarte, dass du pünktlich bist.",to expect,A1
obwohl,"Er hilft mir, obwohl er viel zu tun hat.",although,B1
die Straße,Die Straße war nach dem Regen ganz nass.,street,A1
die Angst,Die Angst war in seinen Augen zu sehen.,fear,A2
allgemein,Die allgemeine Regel hatte Ausnahmen.,general,B1
fühlen,Er fühlt sich hier nicht willkommen.,to feel,B1
jene,Jene Menschen kämpften für die Freiheit.,that,
erinnern,Sie hat ihn an das Treffen erinnert.,to remind,B1
oh,"Oh, das habe ich nicht erwartet!",oh,A1
bedeuten,Das bedeutet viel für unsere Zukunft.,to mean,A1
die Stimme,Die Stimme hallte durch den leeren Raum.,voice,B1
die Reaktion,Die Reaktion kam unerwartet schnell.,reaction,B1
wirken,Das Medikament wirkt sehr langsam.,to have an effect,B1
darstellen,Wie willst du deine Idee darstellen?,to depict,B1
der Raum,Der Raum ist voll mit Menschen.,room,A1
die Eltern,Die Eltern holen die Kinder ab.,parents,B1
bezeichnen,Viele Menschen bezeichnen ihn als Genie.,to call,B1
die Funktion,Was ist die Funktion des Gesetzes?,function,B2
häufig,Häufige Fehler stoppten den Fortschritt.,frequent,B1
erscheinen,Der Bericht erscheint bald online.,to appear,A1
die USA,Die USA sind wirtschaftlich stark.,USA,A2
der Flüchtling,Der Flüchtling fand eine neue Heimat.,refugee,B2
früher,Früher war er immer pünktlich.,in the past,
das Pro,Sie listete Pro und Kontra auf.,pro,A2
ergeben,Die Analyse ergab neue Erkenntnisse.,to result in,A1
entscheiden,Er entscheidet sich für das rote Auto.,to decide,B1
die Universität,Die Universität bietet viele Kurse.,university,A2
betreffen,Das betrifft uns alle gleichermaßen.,to affect,A2
oben,Die Sterne leuchten hell oben.,above,A1
die Richtung,Wir fahren in die richtige Richtung.,direction,B1
bestimmen,Er bestimmt den nächsten Schritt.,to decide,A1
fehlen,Der Schlüssel hat in der Box gefehlt.,to lack,A1
die Sprache,Er spricht mehrere Sprachen fließend.,language,A1
das Produkt,Das Produkt wurde ziemlich beliebt.,product,A2
die Situation,Die Situation entspannt sich langsam.,situation,A2
außerdem,"Ich habe Hunger, außerdem bin ich müde.",besides,A2
nämlich,"Sie hat einen Hund, nämlich einen boxer.",you see,B1
international,Das internationale Treffen beginnt bald.,international,A1
der Anfang,Der Anfang war schwer für uns alle.,beginning,A1
sechs,Sechs Minuten blieben noch auf der Uhr.,six,C2
nutzen,Er nutzt jede Gelegenheit zum Lernen.,to use,B1
sozial,Soziale Gerechtigkeit ist ihm wichtig.,social,B1
die Folge,Dieser Fehler hatte ernste Folgen.,result,B1
der Satz,Der Satz endet mit einem Punkt.,sentence,A1
manche,Manche Leute verstehen das nicht.,some,
die Verbindung,Die Verbindung klappt ohne Probleme.,connection,B1
beschreiben,Er beschreibt den Vorfall genau.,to describe,A2
das Licht,Das Licht erhellt den Raum sofort.,light,A1
ähnlich,Die ähnliche Idee wurde schon genutzt.,similar,B1
die Regel,Die Regel ist einfach zu verstehen.,rule,B1
gegenüber,Sein Haus liegt gegenüber dem Park.,opposite,A2
der Kollege,Der Kollege half mir bei der Aufgabe.,colleague,A1
bisher,Bisher hat er alle Prüfungen bestanden.,until now,B1
tief,Der Brunnen im Dorf ist sehr tief.,deep,A2
halb,Der halbe Weg war schon gegangen.,half,B1
lachen,Die Kinder lachen laut im Garten.,to laugh,A1
ebenfalls,Er trat ebenfalls dem Team bei.,likewise,B1
sofort,Er reagierte sofort auf den Anruf.,immediately,A1
die Grenze,Die Grenze wurde streng bewacht.,border,B1
ändern,Er ändert seinen Plan in letzter Minute.,to change,A2
die Entscheidung,Die Entscheidung fiel einstimmig.,decision,B1
verlassen,Er verlässt das Haus um acht Uhr.,to leave,B1
die Idee,Die Idee war einfach brillant.,idea,A2
verbinden,Er verbindet das Kabel mit dem Gerät.,to connect,B1
die Milliarde,Eine Milliarde Euro wurde investiert.,billion,B1
endlich,Endlich kam der langersehnte Brief.,finally,A2
die Energie,Sie speichert Energie in den Batterien.,energy,B1
plötzlich,Plötzlich war alles still um uns.,suddenly,A2
danach,"Er fragte danach, was passiert sei.",after it,B1
die Kraft,"Sie hat nicht genug Kraft, das zu heben.",strength,B1
lieber,Er trinkt lieber Tee als Kaffee.,rather,
gehören,Das Buch gehört eigentlich mir.,to belong,A1
einsetzen,Er hat die Batterien richtig eingesetzt.,to put in,B1
das Gefühl,Ein warmes Gefühl durchströmte sie.,feeling,B1
trotzdem,Trotzdem blieb er fest entschlossen.,nevertheless,B1
befinden,Wir befinden uns gerade in der Stadt.,to be,A1
die Information,Die Information war hilfreich.,information,A1
dadurch,"Sie schlief wenig, dadurch war sie müde.",through it,A2
dagegen,"Ich bin dagegen, dass wir so früh gehen.",against it,B1
die Weise,"Jeder hat seine Weise, zu lernen.",way,A1
die Zukunft,Die Zukunft gehört den Mutigen.,future,B1
wachsen,Das Gras wächst schneller im Sommer.,to grow,B1
bitte,Bitte reich mir das Salz herüber.,please,A1
weiß,Der weiße Schnee bedeckt das ganze Tal.,white,A2
der Text,Der Text erklärt die Regeln deutlich.,text,A1
schwarz,Der schwarze Anzug steht ihm gut.,black,A1
sterben,Viele Helden starben im Krieg.,to die,A2
der Markt,Der Markt öffnet jeden Morgen um 8 Uhr.,market,A2
rot,Die Blumen im Garten sind leuchtend rot.,red,A2
halt,"Das ist halt so, akzeptier es.",just,A1
der Meter,Das Zimmer ist zehn Meter lang.,meter,A1
nah,Wir wohnen in einer nahen Stadt.,near(by),A1
