normalerweise,Normalerweise bin ich pünktlich.,normally,B1
das Motiv,Das Motiv des Gemäldes ist die Natur.,motive,B1
die Auswahl,Die Auswahl im Supermarkt ist groß.,choice,B1
markieren,Er hat die Stelle im Buch markiert.,to mark,B1
mehrfach,Er wurde schon mehrfach ausgezeichnet.,multiple,B2
der Rang,Er hat einen hohen Rang in der Firma.,standing,B2
herausfinden,Er findet die Wahrheit heraus.,to find out,B1
nahezu,Die Aufgabe ist nahezu fertig.,nearly,B2
benennen,Er benennt die wichtigsten Punkte.,to name,B1
die Schrift,Die alte Schrift war schwer zu lesen.,script,B1
die Silbe,Die Betonung liegt auf der ersten Silbe.,syllable,C1
der Anstieg,Der Anstieg der Preise war erwartet.,rise,
die Kurve,Die Kurve war gefährlich scharf.,curve,B1
der Auftritt,Sein Auftritt auf der Bühne war kurz.,appearance,C1
integrieren,Wir müssen alle Systeme integrieren.,to integrate,B1
die Saga,Die Saga erzählt von mutigen Helden.,saga,B2
anmelden,Er meldete sich für den Wettbewerb an.,to register,B1
gerecht,Eine gerechte Lösung wurde gefunden.,just,B1
unendlich,Die Möglichkeiten scheinen unendlich.,endless,B1
der Bundestag,Der Bundestag debattierte stundenlang.,Bundestag,C2
literarisch,Sein Werk hat hohen literarischen Wert.,literary,C1
das Bewusstsein,Das Bewusstsein kehrte zurück.,consciousness,B1
die Stiftung,Die Stiftung fördert viele Projekte.,foundation,B2
die Erhöhung,Die Erhöhung der Preise trifft alle.,increase,B1
die GmbH,Die GmbH wurde 1995 gegründet.,limited liability company,C1
ungewöhnlich,Die Architektur ist sehr ungewöhnlich.,unusual,B1
die Anforderung,Die Anforderung stellt hohe Ansprüche.,requirement,C1
männlich,Die männlichen Läufer waren schneller.,male,A1
das Training,Das Training beginnt um acht Uhr.,training,A2
vorgehen,"Bitte gehen Sie vor, ich folge Ihnen.",to go on,A2
die Arbeitslosigkeit,Die Arbeitslosigkeit nahm drastisch zu.,unemployment,C1
das Brot,Das Brot ist frisch und knusprig.,bread,A1
die Geburt,Die Geburt verlief ohne Probleme.,birth,B1
der Hunger,Der Hunger trieb ihn zum Bäcker.,hunger,A1
jüdisch,Die jüdische Gemeinde feiert heute.,Jewish,B1
das Umfeld,Das Umfeld beeinflusst das Verhalten.,milieu,B2
allzu,Das ist allzu kompliziert für ihn.,overly,B1
der Graf,Der Graf lebt auf einem großen Anwesen.,count,B1
das Indien,Indien ist ein faszinierendes Land.,India,B1
lohnen,"Es lohnt sich, das Buch zu lesen.",to be worth it,B1
optisch,Die optische Illusion verwirrte viele.,optical,C1
militärisch,Die militärische Strategie war brillant.,military,B1
die Mühe,Die Mühe hat sich wirklich gelohnt.,effort,B1
unterbrechen,Er unterbrach das Gespräch höflich.,to interrupt,B1
grundlegend,Er gab die grundlegenden Anweisungen.,basic,C1
das Boot,Das Boot schaukelt auf den Wellen.,boat,B1
das Dutzend,Ein Dutzend Eier liegen im Korb.,dozen,A2
zurückziehen,Er zog seine Bewerbung zurück.,to withdraw,B1
klopfen,"Er klopfte, aber niemand öffnete.",to knock,B1
nachweisen,Er konnte seine Unschuld nachweisen.,to prove,B2
die Wolke,Eine dunkle Wolke zog über den Himmel.,cloud,A2
aufmachen,Er machte die Tür ganz leise auf.,to open,A2
kennzeichnen,Das Gebiet ist deutlich gekennzeichnet.,to characterize,C1
die Jugend,Die Jugend von heute ist gut vernetzt.,youth,B1
wundern,Er wundert sich über das Ergebnis.,to be surprised,A2
die Interpretation,Die Interpretation ist umstritten.,interpretation,C1
die Leber,Die Leber ist ein lebenswichtiges Organ.,liver,B1
die Stellung,Ihre Stellung in der Firma ist sicher.,position,C1
aufheben,Er hebt das Buch vom Boden auf.,to pick up,B1
die Belastung,Die Belastung der Brücke ist sehr hoch.,load,B2
heilig,Das Land ist den Menschen heilig.,holy,A1
der Umfang,Der Umfang des Projekts ist groß.,circumference,C1
die Beobachtung,Die Beobachtung ergab neue Erkenntnisse.,observation,B2
erfinden,Er erfindet ständig neue Geschichten.,to invent,B1
erfordern,Das Projekt erfordert viel Geduld.,to require,B1
der Gebrauch,Der Gebrauch des Werkzeugs war einfach.,use,B2
der Landtag,Der Landtag debattiert über das Gesetz.,parliament,
der Verkehr,Der Verkehr stockte plötzlich.,traffic,B1
aufhalten,"Sie versuchten, das Auto aufzuhalten.",to stop,B1
schneiden,Er schneidet das Brot in Scheiben.,to cut,A1
der Kauf,Der Kauf wurde schnell abgewickelt.,purchase,B1
das Öl,Das Öl wird aus Oliven gepresst.,oil,A2
der Betrag,Der Betrag wurde bereits überwiesen.,amount,B1
herauskommen,Das Buch kommt im Herbst heraus.,to come out,B1
das Fahrrad,Das Fahrrad steht vor der Tür.,bicycle,A1
die Koordination,Die Koordination war schwierig.,coordination,C2
die Nutzung,Die Nutzung von Solarenergie nimmt zu.,use,C1
der Park,Wir trafen uns im Park zum Picknick.,park,A2
resultieren,Aus Fehlern resultieren oft Probleme.,to result,C2
schmecken,Das Essen schmeckt hervorragend.,to taste,A1
starren,Er starrte minutenlang auf das Bild.,to stare,B1
verpassen,Er hat den letzten Bus verpasst.,to miss,A2
vorwerfen,"Er warf ihm vor, gelogen zu haben.",to accuse,B1
der Bauch,Mein Bauch fühlt sich komisch an.,belly,A1
der Verkauf,Der Verkauf lief besser als erwartet.,sale,B1
die Vorbereitung,Die Vorbereitung kostet viel Zeit.,preparation,B1
ausrichten,Richte ihr bitte die Änderungen aus.,to tell,B1
rühren,Er rührt den Kaffee mit dem Löffel um.,to stir,A2
der Trend,Der Trend geht zu nachhaltiger Mode.,trend,C1
aktivieren,Er aktiviert das neue Konto online.,to mobilize,A2
der Mechanismus,Der Mechanismus wurde repariert.,mechanism,C1
die Hose,Die Hose ist viel zu eng geworden.,trousers,A2
lügen,Er hat über seine Vergangenheit gelogen.,to (tell a) lie,A2
ansetzen,Er setzte den Schnitt präzise an.,to position,B1
arabisch,Das arabische Essen ist köstlich.,Arabian,B2
mischen,Er mischt die Farben sorgfältig.,to mix,B1
beruhen,Die Entscheidung beruht auf Fakten.,to be based,B2
das Japan,Japan ist bekannt für seine Technik.,Japan,B1
die City,Die City ist heute sehr belebt.,city center,A2
die Klausur,"Die Klausur war schwer, aber machbar.",exam,C2
innen,Es ist warm und trocken innen.,inside,B1
die Membran,Die Membran filtert das Wasser effektiv.,membrane,C2
das Metall,Das Metall ist schwer und kalt.,metal,B1
das Netzwerk,Das soziale Netzwerk wächst ständig.,network,B1
systematisch,Das systematische Vorgehen half sehr.,systematic,C1
die Technologie,Die Technologie entwickelt sich schnell.,technology,B1
die Trennung,Die Trennung fiel beiden schwer.,separation,B1
die E-Mail,Die E-Mail wurde sofort gesendet.,e-mail,
mitmachen,Er macht bei der Challenge mit.,to join in,A1
der Manager,Der Manager traf die Entscheidung.,manager,B1
die Oma,Die Oma backt die besten Plätzchen.,grandma,A1
die Umfrage,Die Umfrage zeigt klare Ergebnisse.,survey,B1
die Operation,Die Operation dauerte drei Stunden.,operation,B1
die Probe,Die Probe wurde ins Labor geschickt.,sample,A2
bedienen,Er bedient die Maschine mühelos.,to serve,B1
der Mut,"Er hat den Mut, die Wahrheit zu sagen.",courage,B1
nachhaltig,Nachhaltige Lösungen wurden gesucht.,lasting,C2
zusehen,Sie sieht ihm beim Spielen zu.,to watch,A2
bevorzugen,Er bevorzugt Tee statt Kaffee.,to prefer,B1
hierzu,Hierzu gibt es keine weiteren Fragen.,with it,C1
der Fischer,Der Fischer brachte frischen Fisch.,fisherman,B2
der Ruf,Der Ruf des Adlers hallte durch das Tal.,reputation,A1
die Überlegung,Nach kurzer Überlegung änderte sie sich.,thought,C1
die Begegnung,Die Begegnung mit ihm war ein Zufall.,encounter,B2
der Schlag,Der Schlag traf ihn völlig unerwartet.,blow,A1
daraufhin,Daraufhin änderte er seine Meinung.,as a result,B2
die Handlung,Die Handlung entwickelt sich langsam.,action,B1
die Marke,Die Marke ist weltweit bekannt.,brand,B1
angreifen,Der Hund greift den Eindringling an.,to attack,A1
finanzieren,Er finanzierte das Projekt allein.,to finance,B1
freilich,"Freilich, das ist eine gute Idee.",of course,C1
die Hinsicht,In dieser Hinsicht sind wir uns einig.,respect,B2
der Schlüssel,Der Schlüssel passt ins Schloss.,key,A1
deuten,Er deutet auf das Bild an der Wand.,to point,B1
glatt,Die Straße war nach dem Regen glatt.,smooth,B1
schrecklich,Der Unfall war wirklich schrecklich.,terrible,A2
weich,Das Kissen ist angenehm weich.,soft,A2
die Klinik,Die Klinik wurde neu eröffnet.,clinic,B1
bedeutend,Das war eine bedeutende Entdeckung.,important,B2
das Organ,Das Organ spielt eine zentrale Rolle.,organ,B1
besprechen,Sie besprechen die Details des Plans.,to discuss,B1
die Oberfläche,Die Oberfläche glänzt in der Sonne.,surface,B1
der Standort,Der Standort bietet viele Vorteile.,site,B2
der Zufall,Der Zufall führte uns zusammen.,chance,B1
die Armee,Die Armee marschierte durch die Stadt.,army,A1
kräftig,Er hat einen kräftigen Händedruck.,strong,B1
der Nerv,Der Nerv schmerzt bei jeder Bewegung.,nerve,B1
die Niederlage,Die Niederlage schmerzt ihn tief.,defeat,B2
der Termin,Der Termin beim Arzt steht fest.,appointment,A1
angenehm,Das angenehme Gespräch endet positiv.,pleasant,B1
die Synthese,Die Synthese gelang im Labor problemlos.,synthesis,C2
das Drama,Das Drama entfaltete sich langsam.,drama,B1
der Konsum,Der Konsum von Zucker nimmt zu.,consumption,C2
die Vorschrift,Die Vorschrift wurde geändert.,instruction,B1
winzig,In dem winzigen Raum steht nur ein Bett.,tiny,B1
der Flug,Der Flug dauerte acht Stunden.,flight,A2
das Holz,Er hackte Holz für den Winter.,wood,B1
künstlerisch,Ihr künstlerischer Stil ist einzigartig.,artistic,B2
die Förderung,Die Förderung kam von der Regierung.,support,B1
der Impuls,Ein starker Impuls bewegte den Pendel.,stimulus,B2
die Planung,Die Planung der Reise war schwierig.,planning,B1
der Verdacht,Der Verdacht fiel auf den Nachbarn.,suspicion,B1
vorgeben,"Er gibt vor, nichts zu wissen.",to use as an excuse,B2
der Witz,Er erzählte einen lustigen Witz.,joke,A2
aufmerksam,Der aufmerksame Zuhörer stellte Fragen.,attentive,B1
der Mangel,Es gibt einen Mangel an Wasser.,lack,B1
ausführen,Er führte die Aufgabe präzise aus.,to carry out,A2
analog,Das analoge System wird ersetzt.,analog,C2
befürchten,Sie befürchten das Schlimmste.,to fear,A2
hinsichtlich,Hinsichtlich dessen bin ich zufrieden.,with regard to,C1
die Katze,Die Katze sprang leise auf den Tisch.,cat,A2
äußere,Das äußere Tor war verschlossen.,outer,C2
die Halle,Die Halle war voll mit Menschen.,hall,A1
die Häufigkeit,Die Häufigkeit der Ereignisse nimmt zu.,frequency,C2
das Kapital,Das Kapital des Unternehmens wächst.,capital,B2
die Revolution,Die Revolution veränderte alles.,revolution,B1
zuordnen,Er ordnet die Dateien dem Projekt zu.,to assign,C2
aussetzen,Er musste das Training kurz aussetzen.,to suspend,A2
der Lohn,Der Lohn wurde pünktlich überwiesen.,wage,B1
das Vermögen,Das Vermögen wurde gerecht verteilt.,assets,A2
die Verwaltung,Die Verwaltung arbeitet effizient.,administration,B1
zumal,"Er war nervös, zumal es spät war.",particularly,C1
das Kohlenstoffdioxid,Kohlenstoffdioxid ist ein Gas.,carbon dioxide,
ordentlich,Das Büro ist immer ordentlich.,neat,B1
stoppen,Er stoppte den Wagen rechtzeitig.,to stop,B1
der Bundeskanzler,Der Bundeskanzler sprach zur Nation.,federal chancellor,C2
der Rat,Der Rat des Lehrers war hilfreich.,advice,B1
der Bewohner,Die Bewohner waren freundlich.,inhabitant,B1
gewöhnlich,Er führt ein ganz gewöhnliches Leben.,usual,B1
großartig,Das Konzert war einfach großartig.,great,A1
trainieren,Er trainiert täglich im Fitnessstudio.,to train,A2
die Variante,Es gibt eine neue Variante des Spiels.,variant,C1
das Medikament,Das Medikament wirkt sehr schnell.,medicine,A2
der Ring,Der Ring fiel zu Boden und rollte weg.,ring,A2
beliebig,Wählen Sie eine beliebige Option aus.,any,C1
das HGB,Das HGB regelt den Handel genau.,Commercial Code,
versetzen,Er wurde nach Berlin versetzt.,to move,A2
verurteilen,Der Richter verurteilt den Dieb.,to condemn,B1
das Vorjahr,Das Vorjahr brachte gute Ergebnisse.,previous year,C2
gezielt,Sie machte einen gezielten Vorschlag.,targeted,C1
die Kommune,Die Kommune plant neue Wohnprojekte.,municipality,C2
der Mord,Der Mord wurde schnell aufgeklärt.,murder,A1
extern,Die externe Firma hilft uns weiter.,external,C1
die Partie,Die Partie endete unentschieden.,game,B2
stetig,Die stetige Verbesserung fiel auf.,constant,C1
dumm,Das war wirklich eine sehr dumme Idee.,stupid,A2
erwidern,Er erwidert ihren Gruß höflich.,to reply,B2
die Identität,Seine Identität bleibt unbekannt.,identity,A2
der Stock,Das Büro ist im dritten Stockwerk.,stick,A1
das Gefäß,Das Gefäß war mit Wasser gefüllt.,vessel,B2
atmen,Der Patient atmet tief ein und aus.,to breathe,A1
die Milch,Die Milch steht im Kühlschrank.,milk,A1
die Tiefe,Die Tiefe des Sees ist unbekannt.,depth,
moralisch,Moralische Fragen wurden besprochen.,moral,B2
selbe,Er trägt denselben Hut wie gestern.,same,
stärken,Er stärkt sein Immunsystem durch Sport.,to strengthen,B2
der Millimeter,Ein Millimeter machte den Unterschied.,millimeter,C1
die FDP,Die FDP strebt eine Steuerreform an.,FDP,
der Konsument,Der Konsument hat hohe Erwartungen.,consumer,C2
die Reform,Die Reform brachte viele Veränderungen.,reform,B1
der Richter,Der Richter spricht das Urteil.,judge,B1
verwandeln,Er verwandelte das Zimmer in ein Büro.,to transform,A2
streiten,Sie stritten sich um das Geld.,to quarrel,A1
widmen,Sie widmet ihr Leben der Kunst.,to dedicate,B1
bereitstellen,Wir stellen die Mittel bereit.,to provide,C1
hinterlassen,Er hat eine Nachricht hinterlassen.,to leave,B1
analysieren,Sie analysiert die Daten sehr genau.,to analyze,B1
der Gipfel,Der Gipfel des Berges war schneebedeckt.,peak,B2
der Nachteil,Der Nachteil ist offensichtlich.,disadvantage,B1
versus,Es geht um Team A versus Team B.,versus,C2
vertraut,Er ist mit der Technik vertraut.,familiar,A2
das Baby,Das Baby schläft ruhig in seinem Bett.,baby,A1
die Sitzung,Die Sitzung dauert zwei Stunden.,meeting,B1
sportlich,Seine sportliche Leistung war top.,athletic,A2
die Wärme,Die Wärme des Feuers war angenehm.,warmth,B1
eventuell,Eine eventuelle Lösung wurde diskutiert.,possible,B1
die Gemeinschaft,Die Gemeinschaft arbeitete eng zusammen.,community,B1
kennenlernen,Er lernte sie auf einer Party kennen.,to meet,A1
der Unternehmer,Der Unternehmer investierte klug.,entrepreneur,B1
die Dienstleistung,Diese Dienstleistung wird oft genutzt.,service,C2
intern,Die internen Daten wurden ausgewertet.,internal,B2
der Investor,Der Investor plant ein großes Projekt.,investor,B2
die Periode,Die Periode dauerte mehrere Jahre.,period,C1
schriftlich,Die schriftliche Aussage war eindeutig.,written,A2
genetisch,Genetische Merkmale beeinflussen vieles.,genetic,B1
der Einwohner,Der Einwohner verließ die Stadt.,inhabitant,B1
testen,Wir haben das System getestet.,to test,B1
umgeben,Das Haus ist von Bäumen umgeben.,to surround,B1
lebendig,Die Stadt ist nachts besonders lebendig.,living,A2
waschen,Er wäscht das Auto jeden Samstag.,to wash,A1
das Hormon,Hormone beeinflussen das Verhalten.,hormone,B2
das Lebensmittel,Lebensmittel sind teuer geworden.,food,B2
die Zeile,Schreib eine Zeile in das Buch.,line,B1
belasten,Die Sorgen belasten ihn schwer.,to load,B1
braun,Die Blätter sind braun geworden.,brown,B2
die Ehe,Ihre Ehe dauert schon seit 20 Jahren.,marriage,B1
der Passagier,Der Passagier hat seinen Sitz gefunden.,passenger,B1
die Kindheit,Die Kindheit verbrachte er auf dem Land.,childhood,B1
das Ungarn,Ungarn ist ein schönes Reiseziel.,Hungary,C1
der Verbraucher,Der Verbraucher verlangt Qualität.,consumer,
die Vielfalt,Die Vielfalt der Blumen ist erstaunlich.,diversity,C1
die Entschuldigung,Er bot eine Entschuldigung an.,apology,A1
flüstern,Sie flüstert ihm ein Geheimnis ins Ohr.,to whisper,A2
geradezu,Das war geradezu unmöglich zu lösen.,downright,B2
die Koalition,Die Koalition hat sich geeinigt.,coalition,C2
die Mischung,Die Mischung schmeckt hervorragend.,mixture,B2
zukünftig,Zukünftige Projekte sind geplant.,future,B1
erledigen,Ich werde das sofort erledigen.,to settle,B1
die Existenz,Die Existenz des Tieres ist bewiesen.,existence,B1
der Geruch,Der Geruch von Kaffee weckte ihn.,smell,B1
herkommen,"Ich weiß nicht genau, wo sie herkommt.",to come here,A1
der Sitz,Der Sitz des Unternehmens ist in Berlin.,seat,B1
die Serie,Die Serie gewann viele Preise.,series,B1
ahnen,Er ahnte nichts von der Überraschung.,to sense,A2
die Entfernung,Die Entfernung zum Ziel war groß.,distance,B1
stützen,Das Gebäude stützt sich auf Pfeiler.,to support,B2
die Wahrnehmung,Die Wahrnehmung ist subjektiv.,perception,C1
die Liga,Die Liga plant eine neue Saison.,league,B2
der Schlaf,Der Schlaf kommt spät in der Nacht.,sleep,B1
einschränken,Er schränkt seine Ausgaben ein.,to restrict,C1
die Kette,Die Kette riss plötzlich unter der Last.,chain,A2
die Säure,Die Säure reagierte mit dem Metall.,acid,B2
die Strafe,Die Strafe folgt auf das Vergehen.,punishment,B1
der Franzose,Der Franzose spricht gut Deutsch.,Frenchman,B1
das Konzert,Das Konzert endete mit großem Applaus.,concert,A2
der Kontext,Der Kontext ist wichtig für das Verständnis.,context,C1
der Transport,Der Transport verlief reibungslos.,transportation,B1
abbauen,Er baut den alten Schuppen ab.,to reduce,C1
anregen,Das Buch regt zum Nachdenken an.,to encourage,C1
aufwachsen,Er wuchs in einer kleinen Stadt auf.,to grow up,A2
beherrschen,Er beherrscht die Sprache gut.,to control,A2
das Island,Island ist sehr kalt im Winter.,Iceland,B1
das Kreuz,Das rote Kreuz ist ein Symbol der Hilfe.,cross,B1
der Motor,Der Motor des Autos war defekt.,motor,A2
die Sendung,Die Sendung lief gestern im Fernsehen.,broadcast,A2
die Aktie,Die Aktie stieg gestern um 5%.,share,B2
höchstens,Es dauert höchstens eine Stunde.,at most,B1
trocken,Das Brot ist leider trocken geworden.,dry,A2
die Ukraine,Die Ukraine ist ein großes Land.,Ukraine,C1
die Wechselwirkung,Die Wechselwirkung wurde untersucht.,interaction,C2
die Bibliothek,Die Bibliothek hat viele Bücher.,library,A2
ebenda,Das Zitat stammt ebenda aus dem Buch.,ibidem,
hoffentlich,Hoffentlich kommt er pünktlich.,hopefully,A2
die Erwachsene,Die Erwachsenen hatten viel Spaß.,adult,A1
die WM,Die WM beginnt nächsten Monat in Katar.,world championship,C2
zurückführen,Er führt den Erfolg auf das Team zurück.,to attribute,C1
das Bruttoinlandsprodukt,Das Bruttoinlandsprodukt steigt.,gross domestic product,
friedlich,Ein friedlicher Protest fand statt.,peaceful,A2
der Verkäufer,Der Verkäufer bot einen guten Preis an.,salesman,A1
vernünftig,Das war eine vernünftige Entscheidung.,sensible,B1
die Matrix,Die Matrix enthält viele Zahlen.,matrix,C1
abholen,Sie hat das Paket am Mittag abgeholt.,to get,A1
gegenwärtig,Die gegenwärtige Lage ist schwierig.,present,B2
der Organismus,Der Organismus reagiert schnell.,organism,B2
die Ressource,Die Ressource wurde nachhaltig genutzt.,resource,B2
trauen,Er traut seinen engsten Freunden.,to trust,A1
das Vorbild,Sie ist ein Vorbild für viele.,role model,B2
vorlegen,Er legte seine Ideen dem Team vor.,to present,B2
wahnsinnig,Der Verkehr in der Stadt ist wahnsinnig.,insane,B1
erstaunlich,Ihre erstaunliche Idee wurde umgesetzt.,astonishing,A2
grinsen,Er grinst schelmisch nach der Frage.,to grin,B2
der Koffer,Der Koffer wurde zurückgelassen.,suitcase,A1
emotional,Das Gespräch wurde sehr emotional.,emotional,A2
erstellen,Er erstellt eine Liste mit allen Namen.,to build,B1
fünfzig,Fünfzig Leute kamen zur Party.,fifty,
die Kugel,Die Kugel rollte über den Tisch.,ball,A2
das Rad,Das Rad dreht sich immer schneller.,wheel,B1
ausbauen,Er baute das Haus zu einem Hotel aus.,to extend,C1
anzeigen,Er zeigte den Diebstahl sofort an.,to report,B1
der Schwerpunkt,Der Schwerpunkt liegt auf Bildung.,focus,C2
die Überzeugung,Seine Überzeugung war unerschütterlich.,conviction,B1
die Ableitung,Die Ableitung der Formel ist schwierig.,derivation,C2
aussteigen,Er stieg an der letzten Haltestelle aus.,to get off,A1
das Chromosom,Das Chromosom wurde genau untersucht.,chromosome,C2
vergleichbar,Die Ergebnisse sind kaum vergleichbar.,comparable,C1
anhören,Ich möchte mir seine Meinung anhören.,to listen to,A2
die Tonne,Die Tonne ist bis obenhin gefüllt.,ton,B1
verleihen,Die Bibliothek verleiht auch DVDs.,to lend,B1
der Arbeiter,Der Arbeiter begann frühmorgens.,worker,B1
das Bord,Das Gepäck liegt sicher an Bord.,board,A1
entspannen,Er entspannt sich gerne im Park.,to relax,A1
kürzlich,Ich habe ihn kürzlich gesehen.,recently,B1
beurteilen,Er beurteilt die Lage kritisch.,to assess,B1
raten,"Er rät ihm, vorsichtig zu sein.",to advise,A2
der Schnitt,Der Schnitt teilt den Apfel in zwei.,cut,
wertvoll,"Der Ring war klein, aber sehr wertvoll.",valuable,B1
der Erzähler,Der Erzähler fesselte das Publikum.,storyteller,B2
das Gold,Das Gold glänzt im Sonnenlicht.,gold,B1
umstritten,Die Entscheidung war umstritten.,disputed,C2
aufsteigen,Der Ballon steigt in den Himmel auf.,to rise (up),B2
biologisch,Sie kaufen nur biologische Lebensmittel.,biological,B1
vielfältig,Die Auswahl im Laden war vielfältig.,diverse,C2
wirksam,Das Medikament ist sehr wirksam.,effective,C1
überlassen,Er überließ ihr die Entscheidung.,to leave,A1
identifizieren,Er identifizierte die Probleme schnell.,to identify,A2
der Mittelwert,Der Mittelwert der Daten ist berechnet.,average,C2
der Stil,Der Stil des Hauses gefällt mir.,style,B1
die Atmosphäre,Die Atmosphäre im Raum war angespannt.,atmosphere,B1
die Beschäftigung,Er fand schnell eine neue Beschäftigung.,employment,B1
hinzufügen,Er fügte eine Bemerkung hinzu.,to add,B2
indirekt,Er gab nur indirekte Hinweise.,indirect,C1
der Zeitraum,Der Zeitraum umfasst einige Monate.,period of time,C1
aufkommen,Plötzlich kam ein heftiger Wind auf.,to come up,B2
plus,Morgen erwarten wir 10 Grad plus.,plus,B1
die Schwingung,Die Schwingung war deutlich spürbar.,vibration,C1
der Vektor,Der Vektor zeigt die Richtung an.,vector,C2
der Sauerstoff,Der Patient benötigt Sauerstoff.,oxygen,B1
die Äußerung,Die Äußerung löst Empörung aus.,comment,C1
ausziehen,Er zog aus dem Haus seiner Eltern aus.,to move out,B1
die Gewerkschaft,Die Gewerkschaft fordert höhere Löhne.,trade union,B1
der Tourismus,Der Tourismus wächst jährlich.,tourism,B1
flach,Das flache Land erstreckt sich weit.,flat,B1
transportieren,Wir transportieren die Ware per Lkw.,to transport,B1
einheimisch,Er bevorzugt einheimische Produkte.,native,C1
der Winkel,Der Winkel des Dachs war zu steil.,angle,B2
sauer,Der saure Apfel schmeckt mir nicht.,sour,A2
vermissen,Er vermisst seine Heimat sehr.,to miss,B1
das Geschlecht,Das Geschlecht spielt keine Rolle.,sex,B1
attraktiv,Das attraktive Angebot lockte Käufer an.,attractive,A2
die Aussicht,Die Aussicht von hier ist schön.,prospect,B1
die Betriebswirtschaftslehre,Er studiert Betriebswirtschaftslehre.,business administration,
der Held,Der Held besiegte den Drachen.,hero,B1
sechzig,Sechzig Gäste wurden eingeladen.,sixty,
die Base,Die Base reagierte mit der Säure.,base,B2
die Bilanz,Die Bilanz zeigt einen Gewinn.,balance (sheet),C1
das Geheimnis,Das Geheimnis wurde endlich gelüftet.,secret,B1
